ID,Type,Title,Parent,Epic,Priority,StoryPoints,Labels,Sprint,Dependencies,Owner,AcceptanceCriteria,TracesTo
EP-01,Epic,Repository & Foundation,,EP-01,critical,,type:epic;infra,Sprint 1,,Founder,Request flows through api; CI green,M1;§3.23;ADR-017
EP-02,Epic,Developer Experience,,EP-02,high,,type:epic;infra,Sprint 1,EP-01,DevOps,New dev productive in <1 day,§6.9;§6.10
EP-03,Epic,CI/CD Pipeline,,EP-03,critical,,type:epic;ci-cd,Sprint 1,EP-01,DevOps,Auto-deploy dev; gated prod,§6.11
EP-04,Epic,Observability & Monitoring,,EP-04,high,,type:epic;observability,Sprint 6,EP-01,DevOps,SLO dashboards live,§3.11;§3.19
EP-05,Epic,Authentication,,EP-05,critical,,type:epic;security,Sprint 2,EP-01,Backend,Login + key auth work,M2;§5.3;ADR-032
EP-06,Epic,Organizations,,EP-06,critical,,type:epic;backend,Sprint 2,EP-05,Backend,Org CRUD; tenant scoping,M3;§5.8
EP-07,Epic,Users & RBAC,,EP-07,critical,,type:epic;security,Sprint 2,EP-05,Backend,RBAC enforced (SC-8),M2;§5.3
EP-08,Epic,Projects & Attribution,,EP-08,critical,,type:epic;backend,Sprint 2,EP-06,Backend,Key to project resolves,M4;§3.15;§5.8
EP-09,Epic,Provider Adapter Framework,,EP-09,critical,,type:epic;provider,Sprint 3,EP-01,Founder,New provider = adapter only (SC-5),M5;§AP-4;§5.11
EP-10,Epic,OpenAI Integration,,EP-10,critical,,type:epic;provider,Sprint 3,EP-09;EP-13,Backend,Connect + sync + cost,M5
EP-11,Epic,Anthropic Integration,,EP-11,critical,,type:epic;provider,Sprint 3,EP-09;EP-13,Backend,Connect + sync + cost,M5
EP-12,Epic,Provider Connections,,EP-12,critical,,type:epic;provider,Sprint 3,EP-09,Backend,Connection state machine works,M5;§3.21.1
EP-13,Epic,Pricing Engine,,EP-13,critical,,type:epic;pricing,Sprint 4,EP-01,Backend,Cost = f(usage price@time),§4.5;M7
EP-14,Epic,Canonical Event Model,,EP-14,critical,,type:epic;ingestion,Sprint 3,EP-01,Founder,Schema frozen; CI gate,§4.3;§4.20;ADR-030
EP-15,Epic,Event Ingestion,,EP-15,critical,,type:epic;ingestion,Sprint 3,EP-12;EP-14;EP-18,Backend,Push+pull idempotent (SC-6),M6;§5.10;§3.9
EP-16,Epic,Normalization & Costing,,EP-16,critical,,type:epic;ingestion,Sprint 4,EP-13;EP-15,Backend,Costed events in ClickHouse,M7;§3.4
EP-17,Epic,Reconciliation,,EP-17,critical,,type:epic;reconciliation,Sprint 4,EP-16,Founder,Reconciled within ±2% (SC-3),M7;§3.9.2
EP-18,Epic,Data Stores,,EP-18,critical,,type:epic;database,Sprint 1,EP-01,DevOps,All stores provisioned + backed up,§3.8;§4.6
EP-19,Epic,Analytics Engine,,EP-19,critical,,type:epic;analytics,Sprint 4,EP-16,Backend,p95 <2s on rollups (SC-2),M7;§5.9;§4.8
EP-20,Epic,Dashboard / Frontend,,EP-20,critical,,type:epic;dashboard,Sprint 4,EP-19;EP-05,Frontend,Onboarding ≤15min to cost (SC-1),M8;§5
EP-21,Epic,Budgets & Governance,,EP-21,high,,type:epic;budget,Sprint 5,EP-16,Backend,Thresholds fire (SC-4),M9;§3.21.2
EP-22,Epic,Alerts & Notification,,EP-22,high,,type:epic;alerts,Sprint 5,EP-21,Backend,Breach to alert delivered (SC-4),M10;§5.13
EP-23,Epic,Reports & Export,,EP-23,high,,type:epic;analytics,Sprint 5,EP-19,Backend,Export traceable (SC-9),M11;§5.8
EP-24,Epic,Webhooks,,EP-24,medium,,type:epic;api,Sprint 5,EP-22,Backend,Signed delivery + retry,§5.13;ADR-040
EP-25,Epic,SDK,,EP-25,high,,type:epic;api,Sprint 5,EP-15,Backend,track_usage non-blocking,§5.12;ADR-039
EP-26,Epic,API Gateway & Public API,,EP-26,critical,,type:epic;api,Sprint 2,EP-05,Backend,REST surface live,§5.2;ADR-031
EP-27,Epic,Security & Compliance,,EP-27,high,,type:epic;security,Sprint 6,EP-05;EP-18,DevOps,Security review passed,§4.15;§5.16
EP-28,Epic,Testing & Quality,,EP-28,high,,type:epic;testing,Sprint 6,EP-03,QA,SC-1..10 acceptance pass,§6.12
EP-29,Epic,Documentation,,EP-29,medium,,type:epic;documentation,Sprint 6,EP-26,All,OpenAPI generated; docs live,§6.6
EP-30,Epic,Deployment & Environments,,EP-30,high,,type:epic;deployment,Sprint 6,EP-03;EP-18,DevOps,Prod deploy + rollback work,§6.10
EP-31,Epic,Release Management,,EP-31,high,,type:epic;release,Sprint 6,,Founder,Release plan executed,§6.15;§12
EP-32,Epic,Forecasting (Phase 2),,EP-32,low,,type:epic;phase-2,,EP-19,Backend,Out of MVP,§6.16
F-001,Feature,Monorepo scaffold,EP-01,EP-01,critical,5,type:feature;infra,Sprint 1,,Founder,Folders + CODEOWNERS exist,§6.5
F-002,Feature,Shared packages,EP-01,EP-01,critical,5,type:feature;infra,Sprint 1,F-001,Backend,Contracts importable by services,§4.20
F-003,Feature,Service skeletons,EP-01,EP-01,critical,5,type:feature;backend,Sprint 1,F-001,Backend,Each exposes /health /ready,§3.19
F-004,Feature,Base tooling,EP-01,EP-01,high,3,type:feature;infra,Sprint 1,F-001,DevOps,Linters enforced local + CI,§6.6
F-010,Feature,Test+lint pipeline,EP-03,EP-03,critical,5,type:feature;ci-cd,Sprint 1,F-001,DevOps,Runs on PR,§6.11
F-011,Feature,Security + dependency scan,EP-03,EP-03,high,3,type:feature;security,Sprint 1,F-010,DevOps,Blocks on critical findings,§6.11
F-012,Feature,Contract gates,EP-03,EP-03,critical,5,type:feature;ci-cd,Sprint 1,F-010,Backend,Incompatible change blocked,§4.26;SC-5
F-013,Feature,Build + deploy pipeline,EP-03,EP-03,critical,5,type:feature;deployment,Sprint 1,F-010,DevOps,Dev auto prod gated,§6.11
F-020,Feature,OIDC login,EP-05,EP-05,critical,5,type:feature;security,Sprint 2,F-003,Backend,Login issues JWT,§5.3
F-021,Feature,JWT + refresh,EP-05,EP-05,critical,5,type:feature;security,Sprint 2,F-020,Backend,Short access; rotating refresh,§5.3
F-022,Feature,API keys sk/ik,EP-05,EP-05,critical,5,type:feature;security,Sprint 2,F-020,Backend,Ingestion key write-only,§5.3
F-023,Feature,Service identity mTLS,EP-05,EP-05,medium,3,type:feature;security,Sprint 6,F-020,DevOps,Internal calls authenticated,§5.3
F-030,Feature,Roles & scopes,EP-07,EP-07,critical,5,type:feature;security,Sprint 2,F-021,Backend,Role to scope enforced,§5.3
F-031,Feature,User invite,EP-07,EP-07,high,3,type:feature;backend,Sprint 2,F-030,Backend,Invite to active flow,§5.8
F-032,Feature,Tenant scoping,EP-07,EP-07,critical,5,type:feature;security,Sprint 2,F-030,Backend,Cross-org access impossible,SC-8
F-040,Feature,Adapter contract,EP-09,EP-09,critical,5,type:feature;provider,Sprint 3,F-002,Founder,Contract published in packages,§5.11
F-041,Feature,Capability descriptor,EP-09,EP-09,high,3,type:feature;provider,Sprint 3,F-040,Backend,Surfaced in dashboard,§3.18
F-042,Feature,Adapter fitness test,EP-09,EP-09,critical,5,type:feature;testing,Sprint 3,F-040,QA,CI asserts no core diff,SC-5
F-043,Feature,Resumable sync,EP-09,EP-09,critical,5,type:feature;provider,Sprint 3,F-040,Backend,Resumes from checkpoint,§5.11
F-050,Feature,Pricing catalog,EP-13,EP-13,critical,5,type:feature;pricing,Sprint 4,F-002,Backend,Lookup by model+time,§4.5
F-051,Feature,Pricing changelog,EP-13,EP-13,high,3,type:feature;pricing,Sprint 4,F-050,Backend,Normalization reads local view,§3.4
F-052,Feature,Pricing maintenance process,EP-13,EP-13,critical,3,type:feature;pricing,Sprint 0,,Backend,Defined source + update flow,OQ-E5
F-060,Feature,Event envelope + payload,EP-14,EP-14,critical,5,type:feature;ingestion,Sprint 3,F-002,Founder,Schema in event-schema package,§4.20
F-061,Feature,Deterministic event_id,EP-14,EP-14,critical,5,type:feature;ingestion,Sprint 3,F-060,Backend,Same event same id,§4.3
F-062,Feature,Schema freeze + change control,EP-14,EP-14,critical,3,type:feature;ingestion,Sprint 3,F-060,Founder,CI compat gate + ADR required,§4.26
F-070,Feature,Collector API push,EP-15,EP-15,critical,8,type:feature;ingestion,Sprint 3,F-060;EP-18,Backend,202 ack; per-item result,§5.10
